stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220DB000188,188,Doyle's Corner,,53.360121,-6.272583,,,,
8220DB000189,189,Phibsborough Road,,53.357167,-6.273469,,,,
8220DB000190,190,Broadstone,,53.3551257304144,-6.27337107400574,,,,
8220DB000193,193,Clune Road,,53.391196,-6.294104,,,,
8220DB000197,197,Monck Place,,53.358953,-6.273231,,,,
8220DB000211,211,Falcarragh Rd,,53.384281,-6.24916,,,,
8220DB000212,212,Larkhill Rd,,53.383196,-6.246258,,,,
8220DB000315,315,Bachelors Walk,,53.347028,-6.261667,,,,
8220DB000317,317,Westmoreland Street,,53.346526,-6.259269,,,,
8220DB000333,333,D'Olier Street,,53.346692,-6.258346,,,,
8220DB000334,334,D'Olier Street,,53.346581,-6.258126,,,,
8220DB001017,1017,Grove Park,,53.329369,-6.264322,,,,
8220DB001018,1018,Cathal Brugha Brrks,,53.327585,-6.26465,,,,
8220DB001019,1019,Military Road,,53.32643,-6.26483,,,,
8220DB001020,1020,Rathmines,,53.32508,-6.26508,,,,
8220DB001021,1021,Rathmines Rd Upr,,53.32138,-6.265652,,,,
8220DB001022,1022,Summerville Park,,53.319522,-6.264557,,,,
8220DB001065,1065,Trinity Hall,,53.311829,-6.262783,,,,
8220DB001076,1076,Swan Shop Cntr,,53.323131,-6.265491,,,,
8220DB001090,1090,Kimmage Road West,,53.312104,-6.300576,,,,
8220DB001507,1507,De Courcy Sq,,53.36839,-6.274503,,,,
8220DB001509,1509,Slaney Road,,53.3729258340421,-6.28422366048831,,,,
8220DB001512,1512,Prospect Hill N,,53.382174,-6.291729,,,,
8220DB001519,1519,Kildonan Park,,53.39244486956,-6.31175161798526,,,,
8220DB001523,1523,Plunkett Avenue,,53.3978788506134,-6.30958155709762,,,,
8220DB001529,1529,Finglas Village,,53.388459,-6.298153,,,,
8220DB001532,1532,Prospect Hill N,,53.381744,-6.290559,,,,
8220DB001537,1537,De Courcy Sq,,53.368066,-6.273208,,,,
8220DB001539,1539,Griffith Drive,,53.383136,-6.279198,,,,
8220DB001549,1549,Casement Rd,,53.397433,-6.306637,,,,
8220DB001560,1560,Finglas North,,53.397008,-6.304548,,,,
8220DB001576,1576,Cappagh Road,,53.389317,-6.313048,,,,
8220DB001578,1578,Ratoath Drive,,53.3903851294541,-6.31801267740452,,,,
8220DB001614,1614,Church St Upr,,53.351257,-6.273753,,,,
8220DB001643,1643,Falcarragh Rd,,53.384802,-6.251003,,,,
8220DB001644,1644,DCU Collins Avenue,,53.3868700413836,-6.25657120617442,,,,
8220DB001646,1646,DCU Collins Avenue,,53.3871546494696,-6.25698053714182,,,,
8220DB001662,1662,Baggot Road,,53.367603,-6.317543,,,,
8220DB001665,1665,Kempton,,53.370658,-6.327702,,,,
8220DB000005,5,Parnell Square West,,53.3525736395204,-6.26411543286632,,,,
8220DB000011,11,St Joseph's Parade,,53.3568152335295,-6.26467919507526,,,,
8220DB000611,611,Hollybrook Park,,53.366754679119,-6.21883292211135,,,,
8220DB000613,613,Marino Crescent Pk,,53.364618,-6.226811,,,,
8220DB000662,662,Clanmoyle Rd,,53.37387,-6.212629,,,,
8220DB000748,748,Merrion Row,,53.33851,-6.255031,,,,
8220DB000749,749,Baggot St Lower,,53.337621,-6.250802,,,,
8220DB000752,752,Baggot St Upper,,53.333745,-6.244496,,,,
8220DB000753,753,Waterloo Road,,53.332453,-6.243521,,,,
8220DB000757,757,Donnybrook Village,,53.324081,-6.239586,,,,
8220DB000760,760,Donnybrook Dpot,,53.31833,-6.230562,,,,
8220DB000771,771,Teresian School,,53.31588,-6.227781,,,,
8220DB000775,775,Donnybrook Village,,53.3234897098036,-6.23908544721613,,,,
8220DB000776,776,Morehampton Terrace,,53.325479,-6.241736,,,,
